Line;;1947_Q1;1947_Q2;1947_Q3;1947_Q4;1948_Q1;1948_Q2;1948_Q3;1948_Q4;1949_Q1;1949_Q2;1949_Q3;1949_Q4;1950_Q1;1950_Q2;1950_Q3;1950_Q4;1951_Q1;1951_Q2;1951_Q3;1951_Q4;1952_Q1;1952_Q2;1952_Q3;1952_Q4;1953_Q1;1953_Q2;1953_Q3;1953_Q4;1954_Q1;1954_Q2;1954_Q3;1954_Q4;1955_Q1;1955_Q2;1955_Q3;1955_Q4;1956_Q1;1956_Q2;1956_Q3;1956_Q4;1957_Q1;1957_Q2;1957_Q3;1957_Q4;1958_Q1;1958_Q2;1958_Q3;1958_Q4;1959_Q1;1959_Q2;1959_Q3;1959_Q4;1960_Q1;1960_Q2;1960_Q3;1960_Q4;1961_Q1;1961_Q2;1961_Q3;1961_Q4;1962_Q1;1962_Q2;1962_Q3;1962_Q4;1963_Q1;1963_Q2;1963_Q3;1963_Q4;1964_Q1;1964_Q2;1964_Q3;1964_Q4;1965_Q1;1965_Q2;1965_Q3;1965_Q4;1966_Q1;1966_Q2;1966_Q3;1966_Q4;1967_Q1;1967_Q2;1967_Q3;1967_Q4;1968_Q1;1968_Q2;1968_Q3;1968_Q4;1969_Q1;1969_Q2;1969_Q3;1969_Q4;1970_Q1;1970_Q2;1970_Q3;1970_Q4;1971_Q1;1971_Q2;1971_Q3;1971_Q4;1972_Q1;1972_Q2;1972_Q3;1972_Q4;1973_Q1;1973_Q2;1973_Q3;1973_Q4;1974_Q1;1974_Q2;1974_Q3;1974_Q4;1975_Q1;1975_Q2;1975_Q3;1975_Q4;1976_Q1;1976_Q2;1976_Q3;1976_Q4;1977_Q1;1977_Q2;1977_Q3;1977_Q4;1978_Q1;1978_Q2;1978_Q3;1978_Q4;1979_Q1;1979_Q2;1979_Q3;1979_Q4;1980_Q1;1980_Q2;1980_Q3;1980_Q4;1981_Q1;1981_Q2;1981_Q3;1981_Q4;1982_Q1;1982_Q2;1982_Q3;1982_Q4;1983_Q1;1983_Q2;1983_Q3;1983_Q4;1984_Q1;1984_Q2;1984_Q3;1984_Q4;1985_Q1;1985_Q2;1985_Q3;1985_Q4;1986_Q1;1986_Q2;1986_Q3;1986_Q4;1987_Q1;1987_Q2;1987_Q3;1987_Q4;1988_Q1;1988_Q2;1988_Q3;1988_Q4;1989_Q1;1989_Q2;1989_Q3;1989_Q4;1990_Q1;1990_Q2;1990_Q3;1990_Q4;1991_Q1;1991_Q2;1991_Q3;1991_Q4;1992_Q1;1992_Q2;1992_Q3;1992_Q4;1993_Q1;1993_Q2;1993_Q3;1993_Q4;1994_Q1;1994_Q2;1994_Q3;1994_Q4;1995_Q1;1995_Q2;1995_Q3;1995_Q4;1996_Q1;1996_Q2;1996_Q3;1996_Q4;1997_Q1;1997_Q2;1997_Q3;1997_Q4;1998_Q1;1998_Q2;1998_Q3;1998_Q4;1999_Q1;1999_Q2;1999_Q3;1999_Q4;2000_Q1;2000_Q2;2000_Q3;2000_Q4;2001_Q1;2001_Q2;2001_Q3;2001_Q4;2002_Q1;2002_Q2;2002_Q3;2002_Q4;2003_Q1;2003_Q2;2003_Q3;2003_Q4;2004_Q1;2004_Q2;2004_Q3;2004_Q4;2005_Q1;2005_Q2;2005_Q3;2005_Q4;2006_Q1;2006_Q2;2006_Q3;2006_Q4;2007_Q1;2007_Q2;2007_Q3;2007_Q4;2008_Q1;2008_Q2;2008_Q3;2008_Q4;2009_Q1;2009_Q2;2009_Q3;2009_Q4;2010_Q1;2010_Q2;2010_Q3;2010_Q4;2011_Q1;2011_Q2;2011_Q3;2011_Q4;2012_Q1;2012_Q2;2012_Q3;2012_Q4;2013_Q1;2013_Q2;2013_Q3;2013_Q4;2014_Q1;2014_Q2;2014_Q3;2014_Q4;2015_Q1;2015_Q2;2015_Q3;2015_Q4;2016_Q1;2016_Q2;2016_Q3;2016_Q4;2017_Q1;2017_Q2;2017_Q3;2017_Q4;2018_Q1;2018_Q2;2018_Q3;2018_Q4;2019_Q1;2019_Q2;2019_Q3;2019_Q4;2020_Q1;2020_Q2;2020_Q3;2020_Q4
1;        Gross domestic product;243164;245968;249585;259745;265742;272567;279196;280366;275034;271351;272889;270627;280828;290383;308153;319945;336000;344090;351385;356178;359820;361030;367701;380812;387980;391749;391171;385970;385345;386121;390996;399734;413073;421532;430221;437092;439746;446010;451191;460463;469779;472025;479490;474864;467540;471978;485841;499555;510330;522653;525034;528600;542648;541080;545604;540197;545018;555545;567664;580612;594013;600366;609027;612280;621672;629752;644444;653938;669822;678674;692031;697319;717790;730191;749323;771857;795734;804981;819638;833302;844170;848983;865233;881439;909387;934344;950825;968030;993337;1009020;1029956;1038147;1051200;1067375;1086059;1088608;1135156;1156271;1177675;1190297;1230609;1266369;1290566;1328904;1377490;1413887;1433838;1476289;1491209;1530056;1560026;1599679;1616116;1651853;1709820;1761831;1820487;1852332;1886558;1934273;1988648;2055909;2118473;2164270;2202760;2331633;2395053;2476949;2526610;2591247;2667565;2723883;2789842;2797352;2856483;2985557;3124206;3162532;3260609;3280818;3274302;3331972;3366322;3402561;3473413;3578848;3689179;3794706;3908054;4009601;4084250;4148551;4230168;4294887;4386773;4444094;4507894;4545340;4607669;4657627;4722156;4806160;4884555;5007994;5073372;5190036;5282835;5399509;5511253;5612463;5695365;5747237;5872701;5960028;6015116;6004733;6035178;6126862;6205937;6264540;6363102;6470763;6566641;6680803;6729459;6808939;6882098;7013738;7115652;7246931;7331075;7455288;7522289;7580997;7683125;7772586;7868468;8032840;8131408;8259771;8362655;8518825;8662823;8765907;8866480;8969699;9121097;9293991;9417264;9524152;9681856;9899378;10002857;10247679;10319825;10439025;10472879;10597822;10596294;10660294;10788952;10893207;10992051;11071463;11183507;11312875;11567326;11769275;11920169;12108987;12303340;12522425;12761337;12910022;13142873;13332316;13603933;13749806;13867469;14037228;14208569;14382363;14535003;14681501;14651039;14805611;14835187;14559543;14394547;14352850;14420312;14628021;14721350;14926098;15079917;15240843;15285828;15496189;15591850;15796460;16019758;16152257;16257151;16358863;16569591;16637926;16848748;17083137;17104555;17432909;17721657;17849912;18003399;18223577;18347425;18378803;18470156;18656207;18821359;19032580;19237435;19379232;19617288;19937963;20242215;20552653;20742723;20909853;21115309;21329877;21540325;21747394;21561139;19520114;21170252;21494731
2;Personal consumption expenditures;156161;160031;163543;167672;170372;174142;177072;177928;176831;178446;177806;180249;182920;186806;200505;197946;209207;204942;207616;211590;212969;217088;219553;227670;231220;232960;233666;233112;235154;237885;240303;245093;251398;256466;260651;264639;266156;268834;272075;277445;281889;284176;288750;290368;289888;292819;297893;301823;309449;315505;320725;322842;326364;332208;332126;334024;334520;339455;342332;349593;354822;360458;364333;370618;374283;378413;385394;390049;399581;407536;416422;418987;429711;436642;445804;459736;470136;475189;484291;490060;494317;503458;510717;518249;536297;550014;566122;574977;587005;598337;608626;620586;631685;641570;653482;660161;679186;693225;705599;721739;738948;757364;775799;800502;825007;840527;858877;873887;891868;920422;949276;959079;985190;1013582;1047192;1076223;1109908;1129540;1158806;1192408;1228212;1255980;1286905;1324804;1354053;1411385;1442217;1481354;1517141;1557635;1611867;1655035;1702302;1704723;1763771;1831874;1885734;1917524;1958099;1974447;2014155;2039645;2085671;2145554;2184589;2249438;2319895;2372496;2418165;2475876;2513523;2561797;2636008;2681764;2754148;2779400;2823648;2851456;2917201;2952807;2983513;3053330;3117358;3150916;3231896;3291716;3361899;3434539;3490172;3553767;3609399;3653692;3737948;3783421;3846700;3867909;3873562;3926932;3973269;4000032;4100401;4155660;4226971;4307205;4349515;4418581;4487189;4552651;4621223;4683163;4752761;4826713;4862436;4933609;4998662;5055655;5130615;5220499;5274505;5352763;5433105;5471267;5579179;5663610;5721342;5832566;5926846;6028238;6102532;6225300;6328908;6459573;6613597;6707514;6815369;6912095;6986889;7036337;7064655;7174656;7209940;7302112;7390943;7467749;7555778;7642600;7802573;7891485;8027745;8133005;8264342;8425557;8522955;8671428;8849203;8944885;9090652;9210245;9333029;9407453;9549431;9644740;9753799;9877752;9934253;10052843;10080964;9837261;9756126;9760216;9895401;9957092;10040485;10131767;10220606;10350484;10485358;10612125;10705367;10761586;10922442;10964858;11014245;11125711;11223180;11239592;11330946;11475123;11574229;11756878;11915359;12044547;12099073;12255535;12389313;12446001;12551649;12707522;12841158;12979520;13153192;13241268;13370922;13596036;13755546;13939903;14086264;14191412;14276587;14497320;14645313;14759183;14545460;13097348;14401538;14537004
3;    Goods;95594;98248;100419;103453;105093;107188;108741;108657;107167;108282;107569;109305;110800;112587;123987;119944;127605;122180;123364;125845;125538;127608;127941;134055;135704;135574;134420;133642;134172;134970;135429;138495;142939;146831;149363;150459;150216;151111;152117;155173;158014;158649;161229;160519;159257;159819;162422;164773;169723;172617;174524;173564;175060;178396;177503;177103;175641;177564;179176;182850;185534;187792;189527;193023;195047;196685;199868;201018;206646;210932;216255;215177;222676;225586;230769;239671;246406;246958;252093;253020;253477;258504;260475;263506;274394;280853;290386;292833;298845;302664;306616;310588;314095;317554;321727;321800;333880;339820;343866;350896;357744;368368;377675;391473;407267;412681;420716;425877;435505;448600;463992;458056;467993;481541;502752;513051;530733;538969;550453;565063;580398;592927;603902;624310;629241;660999;672360;691665;707868;722167;753278;768437;792001;777831;801862;827480;860091;863784;881052;872546;886293;887947;901826;921096;925911;962632;990798;1015792;1037895;1063643;1066641;1086621;1110392;1126011;1156936;1157097;1170877;1174742;1216749;1220140;1215879;1251382;1281197;1276730;1308826;1326763;1341166;1372483;1388977;1421093;1441926;1443223;1489567;1479260;1496676;1499702;1485841;1497013;1508728;1498155;1533848;1548207;1573141;1597874;1606981;1634169;1649166;1679072;1705669;1726814;1758891;1794840;1788106;1803898;1826234;1843893;1870998;1915873;1925887;1957926;1986608;1974308;2020124;2044983;2044382;2089162;2119865;2180349;2204892;2273073;2311262;2359019;2413086;2437050;2469150;2493402;2499246;2510106;2515247;2577774;2561883;2586933;2618442;2627961;2657334;2677898;2766247;2788911;2843234;2868978;2911339;2984533;3001947;3057414;3137844;3134486;3196843;3226093;3273437;3262249;3308125;3351800;3380010;3428187;3406368;3443532;3427907;3175077;3120027;3134475;3228477;3237111;3266153;3291234;3315119;3398792;3469035;3514457;3527775;3561217;3628717;3616376;3631806;3674058;3731613;3699333;3730352;3758593;3789521;3862947;3897907;3901450;3867908;3927357;3960436;3936269;3939037;3990163;4017540;4046668;4108068;4130306;4177294;4273352;4315557;4368768;4394827;4408264;4415159;4517679;4553619;4562374;4552919;4361518;4868361;4852413
4;        Durable goods;20722;21351;21770;23488;23547;24019;25277;24971;24436;26389;27313;28356;29335;29799;37355;33292;35638;30735;30193;30391;30776;31007;29467;33723;35186;35019;34577;33683;32910;33646;33233;35064;38437;40709;42421;41413;39674;39819;39685;41497;42597;42170;41876;41467;39396;38636;39396;40693;43649;45465;46336;44103;45455;46434;45922;44690;42240;43320;44580;46683;47702;49047;49567;51546;52589;53881;54701;55739;57995;59476;61378;59377;64915;64818;66700;69126;72312;69721;72323;72625;71102;74483;74699;75642;80859;83084;87545;87826;90011;90448;90628;90844;89611;91006;92011;87324;98052;100989;103442;107302;110704;114066;117591;123416;131812;131295;130800;128201;126652;130583;136324;127148;131787;136692;146788;153392;163297;165900;169845;175455;183931;189223;193992;200706;198168;216187;216740;222299;223278;222101;230932;229049;232055;211917;225363;236230;246047;240936;251925;236844;246439;249226;252107;264356;268908;289584;302362;319270;331439;341269;342075;353840;368007;373251;396451;383752;391626;407291;445707;441133;418497;439101;460541;449949;470439;473223;470389;486162;486451;493344;505638;491885;515394;498407;493570;480947;471691;475248;484336;477456;496180;500989;512092;523064;527852;547842;556638;573796;588824;598721;609310;631830;621252;626914;642543;652242;659825;676332;679382;689641;705591;696587;722779;737161;737702;769238;785044;825189;819948;854805;871191;876329;920875;901931;911658;915823;926811;919479;923888;995882;976249;977397;1001720;986105;974533;1007819;1041776;1047074;1064229;1065972;1085046;1107050;1109964;1137918;1151814;1114745;1154128;1149249;1160532;1169422;1179022;1185692;1191859;1195599;1153509;1137729;1095819;1007986;1004480;994700;1035104;1014201;1021085;1043901;1052423;1078441;1087927;1082903;1090755;1112409;1138093;1133557;1141673;1163561;1188767;1185454;1188946;1194486;1203518;1239425;1255633;1269727;1283823;1309627;1318493;1318478;1330962;1339985;1360810;1369132;1383173;1394003;1412984;1452553;1461760;1482554;1488739;1493154;1494454;1535984;1552836;1554131;1496444;1478299;1753000;1748069
5;        Nondurable goods;74872;76897;78649;79965;81546;83169;83465;83686;82731;81894;80255;80949;81465;82788;86632;86652;91966;91445;93171;95454;94762;96601;98474;100331;100517;100556;99842;99959;101261;101324;102196;103431;104502;106122;106942;109046;110541;111291;112432;113676;115417;116479;119353;119052;119862;121183;123026;124080;126074;127152;128188;129461;129605;131961;131580;132413;133401;134245;134596;136167;137832;138745;139960;141477;142458;142803;145166;145279;148651;151455;154877;155800;157760;160768;164069;170545;174094;177238;179770;180394;182375;184021;185777;187864;193535;197769;202841;205007;208834;212216;215988;219744;224484;226548;229716;234475;235828;238832;240424;243595;247040;254302;260084;268057;275456;281386;289916;297675;308853;318017;327667;330908;336206;344849;355964;359659;367436;373070;380608;389607;396467;403704;409909;423604;431073;444812;455620;469367;484590;500067;522347;539388;559946;565914;576499;591250;614044;622849;629127;635702;639854;638721;649719;656740;657003;673049;688437;696522;706457;722374;724567;732781;742385;752760;760485;773345;779252;767452;771042;779007;797382;812281;820656;826781;838387;853540;870778;886321;902525;927749;936288;951338;974173;980853;1003106;1018756;1014150;1021765;1024392;1020699;1037668;1047218;1061049;1074810;1079129;1086326;1092528;1105275;1116845;1128094;1149581;1163010;1166854;1176984;1183691;1191651;1211173;1239541;1246505;1268285;1281017;1277720;1297345;1307821;1306679;1319925;1334820;1355160;1384945;1418268;1440071;1482690;1492211;1535118;1557492;1577579;1572434;1590627;1591359;1581892;1585634;1609535;1616722;1641855;1682801;1670079;1724470;1741837;1779005;1803006;1826294;1877483;1891983;1919496;1986031;2019741;2042714;2076844;2112905;2092827;2129103;2166108;2188151;2232589;2252859;2305803;2332089;2167090;2115548;2139774;2193373;2222909;2245069;2247333;2262696;2320351;2381108;2431554;2437019;2448807;2490624;2482819;2490133;2510497;2542846;2513879;2541405;2564108;2586003;2623522;2642275;2631723;2584085;2617730;2641944;2617791;2608075;2650178;2656730;2677536;2724895;2736303;2764310;2820799;2853797;2886214;2906088;2915110;2920704;2981695;3000783;3008243;3056474;2883219;3115360;3104344
6;    Services;60567;61783;63124;64219;65279;66954;68330;69271;69664;70164;70237;70944;72120;74219;76518;78002;81603;82763;84252;85745;87431;89480;91612;93616;95516;97386;99247;99470;100982;102915;104874;106598;108459;109634;111288;114179;115940;117723;119958;122272;123876;125528;127521;129850;130630;133000;135471;137049;139726;142888;146201;149277;151304;153813;154623;156921;158878;161891;163156;166742;169287;172666;174806;177594;179236;181728;185526;189031;192935;196604;200168;203811;207035;211056;215035;220065;223730;228230;232198;237040;240841;244953;250241;254743;261903;269161;275736;282144;288161;295673;302010;309998;317590;324016;331755;338361;345307;353404;361732;370843;381204;388996;398123;409029;417739;427847;438160;448011;456362;471822;485284;501022;517197;532041;544440;563172;579174;590571;608353;627345;647814;663054;683003;700494;724811;750386;769856;789689;809273;835468;858589;886599;910301;926892;961909;1004394;1025643;1053740;1077047;1101901;1127862;1151697;1183846;1224459;1258678;1286806;1329097;1356704;1380270;1412233;1446882;1475175;1525616;1555754;1597213;1622303;1652771;1676713;1700452;1732668;1767634;1801948;1836160;1874186;1923070;1964954;2020733;2062056;2101195;2132674;2167474;2210469;2248382;2304160;2350024;2368207;2387721;2429918;2464541;2501877;2566552;2607453;2653829;2709331;2742534;2784412;2838023;2873579;2915554;2956348;2993870;3031873;3074329;3129711;3172427;3211762;3259617;3304626;3348618;3394838;3446497;3496960;3559055;3618627;3676961;3743404;3806982;3847889;3897640;3952227;4017646;4100553;4200511;4270464;4346219;4418693;4487643;4526231;4549408;4596882;4648057;4715179;4772501;4839789;4898444;4964702;5036326;5102574;5184511;5264027;5353003;5441024;5521008;5614014;5711358;5810399;5893810;5984152;6059592;6145204;6241307;6292939;6373789;6449565;6527885;6609311;6653057;6662184;6636099;6625741;6666924;6719981;6774332;6840533;6905487;6951692;7016323;7097668;7177592;7200370;7293725;7348482;7382439;7451654;7491567;7540259;7600595;7716530;7784708;7893930;8017452;8143097;8231165;8328178;8428877;8509732;8612612;8717359;8823618;8932852;9045123;9110961;9193627;9322684;9439990;9571135;9691437;9783149;9861429;9979641;10091694;10196809;9992541;8735830;9533177;9684591
7;Gross private domestic investment;35854;34505;34911;43250;47202;50336;52516;51334;43140;36241;39549;37468;46749;52291;58641;68441;64582;67383;61981;57084;58132;53004;57220;60737;61663;62115;61435;56446;55717;55449;58971;62139;68702;72688;74747;78882;78303;77020;78267;77145;77728;77907;79339;71045;66730;65065;71999;80001;83166;89381;83606;86524;96476;87096;86377;75963;78378;84108;90917;92931;98074;96706;98160;94968;99689;101650;104612;107189;110474;110518;112631;114984;126542;127052;131237;133752;144200;143501;143194;145855;142811;137495;142835;147653;152288;158943;155683;160760;172388;172721;177564;171573;168113;171455;173904;166754;189495;197329;202058;198411;212968;226798;233090;239715;254313;268196;264335;280858;268361;277391;271013;281339;244306;243281;265192;276236;304638;322303;328307;337650;360313;389703;414134;422299;434799;470584;492368;515755;525809;539293;545621;547875;554562;519294;495071;551472;619381;609843;652297;643395;588318;593621;592954;549242;565520;613783;652269;718496;790872;818894;838852;831741;809865;827040;822157;859545;863457;855237;835832;842063;871196;874588;876466;946459;908569;934525;942009;962748;1005487;1001047;996460;995809;1010838;1014720;1000785;947453;924569;926541;947476;978788;956817;1013084;1024162;1057962;1083829;1094479;1095852;1153142;1201675;1264948;1251749;1307566;1327586;1303988;1303248;1335135;1355353;1418388;1474350;1480128;1522404;1590218;1625251;1644529;1712324;1695773;1741623;1796964;1853063;1848341;1893735;1953097;1950650;2075786;2059969;2067227;1971333;1973033;1944909;1850091;1912659;1933282;1933197;1942531;1960221;1972386;2044304;2131311;2154052;2262607;2318272;2390082;2486068;2476474;2531076;2645263;2709740;2709252;2709420;2675406;2664295;2699217;2685969;2642560;2563701;2540595;2498242;2307915;2014878;1863650;1841416;1998710;2038161;2148795;2236495;2238440;2205962;2297352;2322840;2504095;2567750;2636863;2644119;2638282;2738236;2775276;2879995;2910546;2899216;3030425;3107620;3139452;3245050;3245825;3251670;3206098;3166041;3157884;3167007;3262433;3266198;3313268;3378844;3446266;3555014;3580926;3671718;3723856;3772798;3739658;3759796;3732637;3675871;3128603;3688199;3926313
